datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/11/01 04:10:00,NOAA-20,Brasil,GOIAS,SAO SIMAO,Mata Atlantica,0,0.1,0.1,-19.05603,-50.59894,1
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,1,5.9,0.3,-13.45615,-50.52847,1.6
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,FORMOSA,Cerrado,1,0.8,0.8,-15.05474,-47.51883,12.2
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,FORMOSA,Cerrado,1,0.8,0.6,-15.05527,-47.5224,21.9
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,FORMOSA,Cerrado,1,0.8,0.9,-15.05806,-47.51831,12.2
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,FORMOSA,Cerrado,1,0.8,0.8,-15.05859,-47.52187,21.9
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,BALIZA,Cerrado,0,0.3,0.4,-16.1526,-52.3631,2.2
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,BALIZA,Cerrado,0,0.4,0.4,-16.19938,-52.51892,3.8
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,LUZIANIA,Cerrado,1,0.2,0.2,-16.77629,-47.91325,2.3
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,CAIAPONIA,Cerrado,0,2.1,0,-17.30895,-52.06934,3.3
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,MINEIROS,Cerrado,2,4.1,-999,-17.56561,-52.55533,4.4
2021/11/01 16:41:00,NOAA-20,Brasil,GOIAS,CATALAO,Cerrado,2,6.8,-999,-17.80078,-47.62511,6.2
2021/11/01 16:44:03,GOES-16,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,0,11.9,0,-13.2,-50.15,
2021/11/01 16:54:02,GOES-16,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,0,11.9,0,-13.2,-50.15,
2021/11/01 17:05:00,AQUA_M-T,Brasil,GOIAS,FORMOSA,Cerrado,1,0.8,0.7,-15.05447,-47.52034,67.1
2021/11/01 17:05:00,AQUA_M-T,Brasil,GOIAS,FORMOSA,Cerrado,1,0.8,0.6,-15.05608,-47.53081,21.2
2021/11/01 17:34:00,NPP-375,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,0,12.2,0,-13.20636,-50.16308,5.2
2021/11/01 17:34:00,NPP-375,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,0,12.3,0,-13.20755,-50.15955,28.3
2021/11/01 17:34:00,NPP-375,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,0,12.3,0,-13.20828,-50.16334,28.3
2021/11/01 17:34:00,NPP-375,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,0,12.6,0,-13.2112,-50.15834,26.9
